latitude;longitude;altitude;geometry;Code;Name;infected;death;recovered;active;Name_VN
10.51333429;105.18049049;;Point;89;An Giang;0;0;0;0;An Giang
21.35843247;106.47918238;;Point;24;Bac Giang;22;0;22;0;Bắc Giang
22.26256361;105.82501335;;Point;6;Bac Kan;0;0;0;0;Bắc Kạn
9.31492208;105.4871077;;Point;95;Bac Lieu;52;0;52;0;Bạc Liêu
21.11010458;106.1046152;;Point;27;Bac Ninh;17;0;15;2;Bắc Ninh
10.12059616;106.46717767;;Point;83;Ben Tre;14;0;2;12;Bến Tre
14.12484337;108.94653634;;Point;52;Binh Dinh;1;0;1;0;Bình Định
11.2181149;106.65625088;;Point;74;Binh Duong;42;0;39;3;Bình Dương
11.75677267;106.9066105;;Point;70;Binh Phuoc;0;0;0;0;Bình Phước
11.11887496;108.04730322;;Point;60;Binh Thuan;10;0;10;0;Bình Thuận
9.05070467;105.03894735;;Point;96;Ca Mau;5;0;1;4;Cà Mau
10.11558026;105.52850119;;Point;92;Can Tho;10;0;10;0;Cần Thơ
22.74617833;106.08388658;;Point;4;Cao Bang;0;0;0;0;Cao Bằng
12.82583296;108.20521755;;Point;66;Dak Lak;3;0;3;0;Đắk Lắk
12.22917315;107.68669125;;Point;67;Dak Nong;0;0;0;0;Đắk Nông
21.71122428;103.02114003;;Point;11;Dien Bien;3;0;2;1;Điện Biên
11.05735306;107.18228264;;Point;75;Dong Nai;22;0;19;3;Đồng Nai
10.56552977;105.60602346;;Point;87;Dong Thap;27;0;25;2;Đồng Tháp
13.79894277;108.23931928;;Point;64;Gia Lai;27;0;23;4;Gia Lai
22.76659686;104.97604623;;Point;2;Ha Giang;2;0;1;1;Hà Giang
20.54138287;105.96511806;;Point;35;Ha Nam;8;0;8;0;Hà Nam
20.99931916;105.69873861;;Point;1;Ha Noi;242;0;236;5;Hà Nội
18.29142856;105.73337807;;Point;42;Ha Tinh;4;0;4;0;Hà Tĩnh
20.93097584;106.35933348;;Point;30;Hai Duong;762;0;668;94;Hải Dương
20.80006561;106.67351391;;Point;31;Hai Phong;9;0;4;5;Hải Phòng
9.78513441;105.62253257;;Point;93;Hau Giang;0;0;0;0;Hậu Giang
20.68538053;105.34147538;;Point;17;Hoa Binh;23;0;23;0;Hoà Bình
20.81569335;106.05841544;;Point;33;Hung Yen;34;0;34;0;Hưng Yên
14.64907257;107.87437661;;Point;62;Kon Tum;0;0;0;0;Kon Tum
22.31788183;103.18521931;;Point;12;Lai Chau;1;0;1;0;Lai Châu
11.75199441;108.09386625;;Point;68;Lam Dong;0;0;0;0;Lâm Đồng
21.83972947;106.61932415;;Point;20;Lang Son;4;0;4;0;Lạng Sơn
22.36621285;104.11015918;;Point;10;Lao Cai;2;0;2;0;Lào Cai
10.73112489;106.16888083;;Point;80;Long An;5;0;5;0;Long An
20.26620472;106.20912138;;Point;36;Nam Dinh;15;0;15;0;Nam Định
19.23729084;104.94393362;;Point;40;Nghe An;0;0;0;0;Nghệ An
20.22292438;105.90072158;;Point;37;Ninh Binh;32;0;32;0;Ninh Bình
11.70654755;108.86697833;;Point;58;Ninh Thuan;12;0;3;9;Ninh Thuận
21.31985075;105.11474625;;Point;25;Phu Tho;3;0;3;0;Phú Thọ
13.17038784;109.05565706;;Point;54;Phu Yen;26;0;26;0;Phú Yên
17.53330656;106.29034517;;Point;44;Quang Binh;0;0;0;0;Quảng Bình
15.59130633;107.95646855;;Point;49;Quang Nam;109;3;105;1;Quảng Nam
14.99339497;108.64800727;;Point;51;Quang Ngai;7;0;7;0;Quảng Ngãi
21.23920248;107.25340866;;Point;22;Quang Ninh;84;0;71;13;Quảng Ninh
16.74794883;106.927579;;Point;45;Quang Tri;7;1;6;0;Quảng Trị
9.5601869;105.92213735;;Point;94;Soc Trang;0;0;0;0;Sóc Trăng
21.19455213;104.06886317;;Point;14;Son La;0;0;0;0;Sơn La
11.40564833;106.15972012;;Point;72;Tay Ninh;25;0;14;11;Tây Ninh
20.50629458;106.38732565;;Point;34;Thai Binh;38;0;38;0;Thái Bình
21.69360533;105.82197259;;Point;19;Thai Nguyen;2;0;2;0;Thái Nguyên
20.04735757;105.31651144;;Point;38;Thanh Hoa;24;0;24;0;Thanh Hóa
16.33287932;107.50649953;;Point;46;Thua Thien Hue;2;0;2;0;Thừa Thiên Huế
10.39717169;106.31240776;;Point;82;Tien Giang;5;0;4;1;Tiền Giang
10.74066987;106.69533776;;Point;79;Ho Chi Minh;221;0;211;10;Hồ Chí Minh
9.79801225;106.31487309;;Point;84;Tra Vinh;8;0;8;0;Trà Vinh
22.11367633;105.26618586;;Point;8;Tuyen Quang;0;0;0;0;Tuyên Quang
10.10272028;105.98897442;;Point;86;Vinh Long;7;0;7;0;Vĩnh Long
21.36234503;105.55755422;;Point;26;Vinh Phuc;19;0;19;0;Vĩnh Phúc
21.77769329;104.56685169;;Point;15;Yen Bai;0;0;0;0;Yên Bái
16.0694116;108.05820377;;Point;48;Da Nang;428;31;391;3;Đà Nẵng
12.33507784;109.02543627;;Point;56;Khanh Hoa;89;0;74;15;Khánh Hòa
9.97505145;105.04177449;;Point;91;Kien Giang;20;0;1;19;Kiên Giang
10.5864391;107.2812226;;Point;77;Ba Ria - Vung Tau;81;0;80;1;Bà Rịa - Vũng Tàu